x1,stratum,species.x,years,density_trend,density_f,density_95_percent_ci,occupancy_trend,occupancy_f,occupancy_95_percent_ci,scientific_name,taxon_id,gbif_taxonID,kingdom,phylum,class,order,family,genus,species.y
4278,CO-BCR16-SA: San Juan National Forest,Song Sparrow,2008-2024,3.49,0.752,"(-6.13, 15.24)",-3.68,0.76,"(-10.73, 6.83)",Melospiza melodia,2492196,2492196,Animalia,Chordata,Aves,Passeriformes,Passerellidae,Melospiza,Melospiza melodia
4279,CO-BCR16-SA: San Juan National Forest,Spotted Sandpiper,2008-2024,1.57,0.594,"(-11.79, 16.99)",-1.68,0.6125,"(-14.99, 12.1)",Actitis macularius,2481798,2481798,Animalia,Chordata,Aves,Charadriiformes,Scolopacidae,Actitis,Actitis macularius
4280,CO-BCR16-SA: San Juan National Forest,Spotted Towhee,2008-2024,0.46,0.52375,"(-11.33, 14.4)",-3.45,0.7425,"(-13.57, 7.5)",Pipilo maculatus,9709230,9709230,Animalia,Chordata,Aves,Passeriformes,Passerellidae,Pipilo,Pipilo maculatus
4283,CO-BCR16-SA: San Juan National Forest,Steller's Jay,2008-2024,2.3,0.818,"(-2.56, 7.18)",2.49,0.87,"(-2.05, 7.14)",Cyanocitta stelleri,2482598,2482598,Animalia,Chordata,Aves,Passeriformes,Corvidae,Cyanocitta,Cyanocitta stelleri
4284,CO-BCR16-SA: San Juan National Forest,Swainson's Hawk,2008-2024,2.87,0.703125,"(-7.05, 18.6)",-2.1,0.6555,"(-11.2, 12.64)",Buteo swainsoni,2480562,2480562,Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Buteo,Buteo swainsoni
4285,CO-BCR16-SA: San Juan National Forest,Swainson's Thrush,2008-2024,1.54,0.564166666666667,"(-17.82, 20.95)",-4.96,0.713333333333333,"(-20.45, 14.12)",Catharus ustulatus,2490821,2490821,Animalia,Chordata,Aves,Passeriformes,Turdidae,Catharus,Catharus ustulatus
4286,CO-BCR16-SA: San Juan National Forest,Townsend's Solitaire,2008-2024,2.11,0.730625,"(-4.71, 9.81)",0.68,0.578333333333333,"(-6.31, 7.88)",Myadestes townsendi,2490849,2490849,Animalia,Chordata,Aves,Passeriformes,Turdidae,Myadestes,Myadestes townsendi
4287,CO-BCR16-SA: San Juan National Forest,Tree Swallow,2008-2024,-8.79,0.966,"(-18.13, 1.03)",-9.78,0.99,"(-18.56, -1.01)",Tachycineta bicolor,2489181,2489181,Animalia,Chordata,Aves,Passeriformes,Hirundinidae,Tachycineta,Tachycineta bicolor
4288,CO-BCR16-SA: San Juan National Forest,Turkey Vulture,2008-2024,4.64,0.8125,"(-5.47, 15.2)",1.94,0.679,"(-6.03, 13.5)",Cathartes aura,2481930,2481930,Animalia,Chordata,Aves,Accipitriformes,Cathartidae,Cathartes,Cathartes aura
4289,CO-BCR16-SA: San Juan National Forest,Vesper Sparrow,2008-2024,8.54,0.901666666666667,"(-3.89, 22.99)",4.87,0.801666666666667,"(-5.4, 18.83)",Pooecetes gramineus,2491728,2491728,Animalia,Chordata,Aves,Passeriformes,Passerellidae,Pooecetes,Pooecetes gramineus
4290,CO-BCR16-SA: San Juan National Forest,Violet-green Swallow,2008-2024,4.12,0.916666666666667,"(-1.73, 9.95)",4.48,0.939166666666667,"(-0.88, 10.05)",Tachycineta thalassina,5230754,5230754,Animalia,Chordata,Aves,Passeriformes,Hirundinidae,Tachycineta,Tachycineta thalassina
4291,CO-BCR16-SA: San Juan National Forest,Virginia's Warbler,2008-2024,4.69,0.813,"(-6.42, 20.76)",1.34,0.586,"(-7.99, 14.25)",Leiothlypis virginiae,8314699,8314699,Animalia,Chordata,Aves,Passeriformes,Parulidae,Leiothlypis,Leiothlypis virginiae
4292,CO-BCR16-SA: San Juan National Forest,Warbling Vireo,2008-2024,6.33,0.9925,"(1.4, 11.47)",7.86,0.99875,"(3.04, 13.3)",Vireo gilvus,2487446,2487446,Animalia,Chordata,Aves,Passeriformes,Vireonidae,Vireo,Vireo gilvus
4293,CO-BCR16-SA: San Juan National Forest,Western Bluebird,2008-2024,-1.32,0.604,"(-12.26, 10.62)",-2.49,0.66625,"(-12.53, 8.6)",Sialia mexicana,2490936,2490936,Animalia,Chordata,Aves,Passeriformes,Turdidae,Sialia,Sialia mexicana
4294,CO-BCR16-SA: San Juan National Forest,Western Flycatcher,2008-2024,7.71,0.999166666666667,"(2.47, 13.67)",8.05,0.995,"(1.83, 14.85)",Empidonax difficilis,9568685,9568685,Animalia,Chordata,Aves,Passeriformes,Tyrannidae,Empidonax,Empidonax difficilis
4295,CO-BCR16-SA: San Juan National Forest,Western Kingbird,2008-2024,2.14,0.620833333333333,"(-9.84, 18.17)",1.83,0.615,"(-10.38, 14.65)",Tyrannus verticalis,5229675,5229675,Animalia,Chordata,Aves,Passeriformes,Tyrannidae,Tyrannus,Tyrannus verticalis
